PARAMETER,unit.types,max.unit,second.unit,third.unit,fourth.unit
"Nitrogen, Total Inorganic (as N)",1,mg/L,NA,NA,NA
"Nitrogen, Total Organic (as N)",1,mg/L,NA,NA,NA
o-Xylene,1,ug/L,NA,NA,NA
Oil and Grease,1,mg/L,NA,NA,NA
"Orthophosphate, Dissolved (as P)",1,mg/L,NA,NA,NA
"Orthophosphate, Total (as P)",1,mg/L,NA,NA,NA
Oxychlordane,2,ug/L,pg/L,NA,NA
p-Cresol,2,ug/L,mg/L,NA,NA
p-Isopropyltoluene,1,ug/L,NA,NA,NA
Parathion,1,ug/L,NA,NA,NA
PCB-1016,2,ug/L,mg/L,NA,NA
PCB-1221,2,ug/L,mg/L,NA,NA
PCB-1232,2,ug/L,mg/L,NA,NA
PCB-1242,2,ug/L,mg/L,NA,NA
PCB-1248,2,ug/L,mg/L,NA,NA
PCB-1254,2,ug/L,mg/L,NA,NA
PCB-1260,2,ug/L,mg/L,NA,NA
PCB-1262,2,ug/L,mg/L,NA,NA
PCB-1268,2,ug/L,mg/L,NA,NA
PCB 036,1,ug/L,NA,NA,NA
Pentachloroethane,1,ug/L,NA,NA,NA
Pentachlorophenol,1,ug/L,NA,NA,NA
Perchlorate,1,ug/L,NA,NA,NA
Perylene,1,mg/L,NA,NA,NA
"Petroleum Hydrocarbons, Total",1,mg/L,NA,NA,NA
pH,1,SU,NA,NA,NA
Phenanthrene,1,ug/L,NA,NA,NA
Phenol-d5,1,ug/L,NA,NA,NA
Phenol-d6,1,ug/L,NA,NA,NA
"Phenol, Single Compound",1,ug/L,NA,NA,NA
"Phenols, Chlorinated",1,ug/L,NA,NA,NA
"Phenols, Total",2,mg/L,ug/L,NA,NA
Phorate,1,ug/L,NA,NA,NA
"Phosphate, Total (as P)",1,mg/L,NA,NA,NA
"Phosphorus, Dissolved (as P)",1,mg/L,NA,NA,NA
"Phosphorus, Total (as P)",1,mg/L,NA,NA,NA
"Polychlorinated Biphenyls (PCBs), Sum",1,ug/L,NA,NA,NA
Polynuclear Aromatic Hydrocarbons (PAHs),1,ug/L,NA,NA,NA
"Potassium, Dissolved",1,mg/L,NA,NA,NA
"Potassium, Total Recoverable",1,mg/L,NA,NA,NA
Propachlor,1,ug/L,NA,NA,NA
Propiconazole,1,ug/L,NA,NA,NA
Pyrene,2,ug/L,mg/L,NA,NA
Pyridine,2,mg/L,ug/L,NA,NA
"Radiation, Gross Alpha",1,PCi/L,NA,NA,NA
"Radiation, Gross Beta",1,PCi/L,NA,NA,NA
Salinity,1,mg/L,NA,NA,NA
sec-Butylbenzene,1,ug/L,NA,NA,NA
"Selenium, Dissolved",2,mg/L,ug/L,NA,NA
"Selenium, Total",2,mg/L,ug/L,NA,NA
"Selenium, Total Recoverable",2,mg/L,ug/L,NA,NA
Settleable Solids,1,ml/L,NA,NA,NA
